Nov 26, 2023 12:15:30 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Nov 26, 2023 12:15:32 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Nov 26, 2023 12:15:32 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock C:\Users\User\GitRepositories\Karaf\lock
Nov 26, 2023 12:15:32 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Nov 26, 2023 12:15:32 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2023-11-26T12:15:32,907 | INFO  | CM Configuration Updater (Update: pid=org.ops4j.pax.logging) | EventAdminConfigurationNotifier  | 7 - org.ops4j.pax.logging.pax-logging-api - 2.2.3 | Sending Event Admin notification (configuration successful) to org/ops4j/pax/logging/Configuration
2023-11-26T12:15:36,291 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   mvn:org.apache.karaf.diagnostic/org.apache.karaf.diagnostic.core/4.4.4
2023-11-26T12:15:36,307 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   mvn:org.apache.karaf/org.apache.karaf.event/4.4.4
2023-11-26T12:15:36,320 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   mvn:org.apache.karaf.features/org.apache.karaf.features.command/4.4.4
2023-11-26T12:15:36,340 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   mvn:org.apache.karaf.instance/org.apache.karaf.instance.core/4.4.4
2023-11-26T12:15:36,420 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.command/4.4.4
2023-11-26T12:15:36,438 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.config/4.4.4
2023-11-26T12:15:36,453 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.modules/4.4.4
2023-11-26T12:15:36,817 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   mvn:org.apache.karaf.kar/org.apache.karaf.kar.core/4.4.4
2023-11-26T12:15:36,843 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   mvn:org.apache.karaf.log/org.apache.karaf.log.core/4.4.4
2023-11-26T12:15:36,871 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   mvn:org.apache.karaf.management/org.apache.karaf.management.server/4.4.4
2023-11-26T12:15:36,895 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   mvn:org.apache.karaf.package/org.apache.karaf.package.core/4.4.4
2023-11-26T12:15:36,912 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   mvn:org.apache.karaf.service/org.apache.karaf.service.core/4.4.4
2023-11-26T12:15:36,925 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.commands/4.4.4
